"congress","year","icpsr","statecode","district","state","party","occupancy","means","name","pres_matches","pres_votes","pres_there_for","score"
84,1955,6738,72,0,"OREGON",328,0,1,"MORSE",31,52,52,59.6
84,1955,6796,37,0,"SOUTH DAKOTA",200,0,1,"MUNDT",37,52,51,71.2
84,1955,6820,64,0,"MONTANA",100,0,1,"MURRAY",35,52,50,67.3
84,1955,6856,56,0,"WEST VIRGINIA",100,0,1,"NEELY",34,52,52,65.4
84,1955,6882,72,0,"OREGON",100,0,1,"NEUBERGER",35,52,52,67.3
84,1955,7070,68,0,"WYOMING",100,0,1,"O'MAHONEY",38,52,52,73.1
84,1955,7229,5,0,"RHODE ISLAND",100,0,1,"PASTORE",38,52,51,73.1
84,1955,7271,2,0,"MAINE",200,0,1,"PAYNE",47,52,52,90.4
84,1955,7551,23,0,"MICHIGAN",200,0,1,"POTTER",44,52,50,84.6
84,1955,7656,1,0,"CONNECTICUT",200,0,1,"PURTELL",45,52,50,86.5
84,1955,7958,40,0,"VIRGINIA",100,0,1,"ROBERTSON",37,52,52,71.2
84,1955,8138,44,0,"GEORGIA",100,0,1,"RUSSELL",29,52,48,55.8
84,1955,8185,3,0,"MASSACHUSETTS",200,0,1,"SALTONSTALL",50,52,52,96.2
84,1955,8270,32,0,"KANSAS",200,0,1,"SCHOEPPEL",38,52,48,73.1
84,1955,8313,47,0,"NORTH CAROLINA",100,0,1,"SCOTT",37,52,52,71.2
84,1955,8593,43,0,"FLORIDA",100,0,1,"SMATHERS",33,52,50,63.5
84,1955,8635,12,0,"NEW JERSEY",200,0,1,"SMITH  H.",50,52,52,96.2
84,1955,8666,2,0,"MAINE",200,0,1,"SMITH  M.",44,52,52,84.6
84,1955,8764,41,0,"ALABAMA",100,0,1,"SPARKMAN",37,52,50,71.2
84,1955,8883,46,0,"MISSISSIPPI",100,0,1,"STENNIS",37,52,52,71.2
84,1955,9141,34,0,"MISSOURI",100,0,1,"SYMINGTON",39,52,52,75
84,1955,9374,33,0,"MINNESOTA",200,0,1,"THYE",47,52,51,90.4
84,1955,9865,67,0,"UTAH",200,0,1,"WATKINS",44,52,48,84.6
84,1955,9930,63,0,"IDAHO",200,0,1,"WELKER",29,52,46,55.8
84,1955,10110,25,0,"WISCONSIN",200,0,1,"WILEY",34,52,40,65.4
84,1955,10163,11,0,"DELAWARE",200,0,1,"WILLIAMS",37,52,52,71.2
84,1955,10301,48,0,"SOUTH CAROLINA",100,2,5,"WOFFORD",0,52,0,NA
84,1955,10450,36,0,"NORTH DAKOTA",200,0,1,"YOUNG",32,52,51,61.5
84,1955,99369,48,0,"SOUTH CAROLINA",100,1,1,"THURMOND",32,52,51,61.5
84,1955,99901,99,0,"USA",200,0,0,"EISENHOWER",52,52,52,100
84,1956,52,6,0,"VERMONT",200,0,1,"AIKEN",52,63,59,82.5
84,1956,142,62,0,"COLORADO",200,0,1,"ALLOTT",59,63,62,93.7
84,1956,165,66,0,"NEW MEXICO",100,0,1,"ANDERSON  C",33,63,60,52.4
84,1956,437,51,0,"KENTUCKY",100,1,1,"BARKLEY",9,63,22,NA
84,1956,464,68,0,"WYOMING",200,0,1,"BARRETT",42,63,61,66.7
84,1956,546,52,0,"MARYLAND",200,0,1,"BEALL",57,63,62,90.5
84,1956,621,24,0,"OHIO",200,0,1,"BENDER",53,63,62,84.1
84,1956,645,67,0,"UTAH",200,0,1,"BENNETT",59,63,63,93.7
84,1956,688,65,0,"NEVADA",100,0,1,"BIBLE",22,63,61,34.9
84,1956,1024,24,0,"OHIO",200,0,1,"BRICKER",39,63,57,61.9
84,1956,1027,4,0,"NEW HAMPSHIRE",200,0,1,"BRIDGES",48,63,58,76.2
84,1956,1329,1,0,"CONNECTICUT",200,0,1,"BUSH",55,63,62,87.3
84,1956,1341,52,0,"MARYLAND",200,0,1,"BUTLER",51,63,60,81
84,1956,1365,40,0,"VIRGINIA",100,0,1,"BYRD",32,63,53,50.8
84,1956,1489,22,0,"INDIANA",200,0,1,"CAPEHART",36,63,52,57.1
84,1956,1510,32,0,"KANSAS",200,0,1,"CARLSON",53,63,63,84.1
84,1956,1569,12,0,"NEW JERSEY",200,0,1,"CASE  C.",58,63,63,92.1
84,1956,1570,37,0,"SOUTH DAKOTA",200,0,1,"CASE  F.",32,63,59,50.8
84,1956,1678,66,0,"NEW MEXICO",100,0,1,"CHAVEZ",16,63,56,25.4
84,1956,1831,51,0,"KENTUCKY",100,0,1,"CLEMENTS",24,63,63,38.1
84,1956,2087,4,0,"NEW HAMPSHIRE",200,0,1,"COTTON",55,63,63,87.3
84,1956,2267,35,0,"NEBRASKA",200,0,1,"CURTIS",40,63,63,63.5
84,1956,2326,49,0,"TEXAS",100,0,1,"DANIEL",17,63,62,27
84,1956,2609,21,0,"ILLINOIS",200,0,1,"DIRKSEN",56,63,62,88.9
84,1956,2691,21,0,"ILLINOIS",100,0,1,"DOUGLAS",36,63,63,57.1
84,1956,2745,14,0,"PENNSYLVANIA",200,0,1,"DUFF",58,63,63,92.1
84,1956,2803,63,0,"IDAHO",200,0,1,"DWORSHAK",38,63,59,60.3
84,1956,2822,46,0,"MISSISSIPPI",100,0,1,"EASTLAND",26,63,62,41.3
84,1956,2901,45,0,"LOUISIANA",100,0,1,"ELLENDER",25,63,61,39.7
84,1956,2987,47,0,"NORTH CAROLINA",100,0,1,"ERVIN",16,63,60,25.4
84,1956,3206,6,0,"VERMONT",200,0,1,"FLANDERS",60,63,62,95.2
84,1956,3349,11,0,"DELAWARE",100,0,1,"FREAR",26,63,63,41.3
84,1956,3388,42,0,"ARKANSAS",100,0,1,"FULBRIGHT",31,63,59,49.2
84,1956,3536,44,0,"GEORGIA",100,0,1,"GEORGE",29,63,60,46
84,1956,3658,61,0,"ARIZONA",200,0,1,"GOLDWATER",42,63,60,66.7
84,1956,3704,54,0,"TENNESSEE",100,0,1,"GORE",33,63,58,52.4
84,1956,3783,5,0,"RHODE ISLAND",100,0,1,"GREEN",38,63,59,60.3
84,1956,4227,61,0,"ARIZONA",100,0,1,"HAYDEN",36,63,63,57.1
84,1956,4328,34,0,"MISSOURI",100,0,1,"HENNINGS",33,63,63,52.4
84,1956,4382,31,0,"IOWA",200,0,1,"HICKENLOOPE",47,63,54,74.6
84,1956,4418,41,0,"ALABAMA",100,0,1,"HILL",25,63,63,39.7
84,1956,4520,43,0,"FLORIDA",100,0,1,"HOLLAND",44,63,63,69.8
84,1956,4660,35,0,"NEBRASKA",200,0,1,"HRUSKA",43,63,63,68.3
